id,id_grupo,categoria,tipo_producto,titulo,pais,ano,titulo_libro,autores,tipologia
00619,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Modelo de minimización del riesgo de la Institución ALIVI,Colombia,2002,Compilación de lecturas Modelo Reducción y Minimización del Riesgo,MARIA ADELAIDA STORTI CALDERON,1
00620,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Estrategias de Reduccion de Daño en el contexto Colombiano. Estrategias de actuacion.,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,GUILLERMO ALONSO CASTANO PEREZ,1
00621,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Los servicios de atencion a los usuarios de drogas a partir del enfoque de Reduccion de Daños,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,GUILLERMO ALONSO CASTANO PEREZ,1
00622,011,Capítulos de libro publicados,Otro capítulo de libro publicado,La Reduccion de Daños una respuesta a problematicas sociales y publicas en las grandes ciudades. Declaracion de la ciudad de Medellin,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,GUILLERMO ALONSO CASTANO PEREZ,1
00623,011,Capítulos de libro publicados,Otro capítulo de libro publicado,El desarrollo de la Reduccion de Daños en America Latina.,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,"GUILLERMO ALONSO CASTANO PEREZ, GRACIELA TOUZE",1
00624,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Reduccion de Daños Breve Historia,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,GUILLERMO ALONSO CASTANO PEREZ,1
00625,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Uso de sustancias psicoactivas por via endovenosa y SIDA en Colombia,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,GUILLERMO ALONSO CASTANO PEREZ,1
00626,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Las Estrategias de Reduccion de daño en el tratamiento de Drogodependientes dificiles.,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,GUILLERMO ALONSO CASTANO PEREZ,1
00627,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Normatividad Legal sobre Reduccion de Daños en Colombia,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,GUILLERMO ALONSO CASTANO PEREZ,1
00628,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Los Riesgos de la Reduccion de Daños,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,GUILLERMO ALONSO CASTANO PEREZ,1
00629,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Consumo de Inhalantes. Controles sociales en la calle. estrategias empiricas de Reduccion de Daños,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,GUILLERMO ALONSO CASTANO PEREZ,1
