id_investigador,id_prod
0112,03081
0112,03082
0112,03083
0112,03084
0105,03122
0105,03123
0105,03125
0105,03126
0105,03127
0105,03128
0105,03129
0105,03130
0105,03131
0105,03132
0105,03133
0105,03134
0105,03135
0105,03136
0105,03138
0105,03139
0105,03141
0105,03143
0105,03144
0105,03145
0105,03155
0105,03156
0105,03158
0105,03159
0105,03160
0105,03161
0105,03162
0105,03163
0105,03164
0105,03165
0105,03177
0105,03178
0105,03179
0105,03180
0105,03191
0105,03215
0105,03216
0105,03217
0105,03218
0105,03219
0105,03220
0105,03221
0105,03236
0105,03237
0105,03238
0105,03239
0105,03240
0105,03241
0105,03242
0105,03243
0105,03244
0105,03245
0105,03246
0105,03247
0105,03248
0105,03277
0105,03279
0105,03280
0105,03285
0105,03286
0105,03287
0105,03288
0105,03289
0105,03290
0105,03291
0105,03292
0105,03293
0105,03294
0105,03295
0105,03296
0105,03297
0105,03298
0105,03299
0105,03300
0105,03301
0105,03302
0105,03303
0105,03304
0105,03305
0105,03306
0105,03307
0105,03308
0105,03309
0105,03310
0105,03311
0105,03312
0114,03317
0114,03318
0114,03331
0114,03333
0114,03334
0114,03335
0114,03336
0114,03337
0114,03341
0114,03342
0114,03367
0114,03368
0113,03369
0113,03371
0113,03372
0113,03373
0114,03375
0114,03376
0114,03377
0114,03378
0114,03379
0114,03380
0114,03381
0114,03387
0114,03388
0114,03401
0114,03403
0114,03404
0114,03421
0114,03425
0114,03430
0114,03435
0115,03436
0115,03437
0115,03438
0115,03439
0114,03440
0114,03441
0114,03442
0115,03443
0115,03444
0115,03445
0115,03446
0115,03447
0115,03448
0115,03452
0115,03453
0115,03454
0115,03455
0115,03456
0115,03457
0115,03458
0115,03459
0115,03460
0114,03462
0114,03463
0115,03469
0115,03470
0115,03472
0115,03473
0115,03474
0115,03475
0115,03476
0115,03477
0115,03478
0115,03479
0127,03481
0127,03482
0127,03483
0127,03484
0130,03485
0130,03486
0130,03487
0130,03488
0130,03489
0130,03490
0130,03491
0116,03492
0116,03493
0116,03494
0116,03495
0127,03496
0127,03497
0127,03498
0127,03499
0127,03500
0130,03501
0116,03502
0128,03502
0116,03504
0128,03504
0116,03505
0128,03505
0122,03506
0122,03507
0127,03508
0127,03509
0127,03510
0127,03511
0127,03512
0127,03513
0127,03514
0124,03515
0124,03516
0124,03517
0124,03518
0124,03519
0130,03520
0130,03521
0117,03522
0130,03523
0130,03524
0130,03525
0130,03526
0129,03527
0116,03528
0129,03529
0129,03530
0129,03531
0129,03532
0116,03533
0122,03534
0122,03536
0122,03537
0122,03538
0117,03539
0117,03540
0122,03541
0119,03542
0119,03543
0119,03544
0119,03545
0119,03546
0116,03547
0116,03548
0126,03549
0124,03550
0124,03551
0124,03552
0124,03553
0124,03554
0116,03555
0124,03557
0130,03558
0020,03559
0128,03560
0128,03561
0128,03562
0128,03563
0020,03564
0020,03565
0020,03566
0130,03567
0122,03568
0116,03569
0130,03570
0130,03571
0130,03572
0124,03574
0124,03575
0126,03576
0116,03577
0116,03578
0124,03579
0124,03580
0124,03581
0126,03582
