id,id_grupo,categoria,tipo_producto,titulo,pais_revista,revista,ano,autores,ISSN,tipologia,cuartil_scimago,categoria_publindex,ano_fuente_cuartil,ano_fuente_publindex
00008,001,Artículos publicados,Publicado en revista especializada,Novel analytical neural network modeling based on the corresponding state principle for determining the speed of sound in hydrocarbons,,CHEMICAL ENGINEERING COMMUNICATIONS,2026,"RICHARD ANDRES CAMPUSANO CORTES, LUIS FERNANDO CARDONA PALACIO, JOSE O VALDERRAMA",00986445,1,Q2,A2,2025,2022
00007,001,Artículos publicados,Publicado en revista especializada,"(Re)victimization, misinformation, and naturalization of gender-based violence in the news coverage of femicide: an integrative review of literature analyzing evidence from 38 countries",Estados Unidos,ANNALS OF THE INTERNATIONAL COMMUNICATION ASSOCIATION,2026,"MARIANA ALDRETE, VICTOR DANIEL GIL VERA",23808977,1,Q1,A1,2025,2022
02025,014,Artículos publicados,Publicado en revista especializada,Between Faith and Capital: A Theological Review of the Banking System and Interests in the Abrahamic Religions,Sudáfrica,PHAROS JOURNAL OF THEOLOGY,2026,MARIA VICTORIA AGUDELO VARGAS,24143324,1,Q1,No clasificada en Publindex,2025,
02024,014,Artículos publicados,Publicado en revista especializada,RAFAEL FRANCO RUIZ: PIONEER OF PUBLIC ACCOUNTING AND ACCOUNTING RESEARCH IN COLOMBIA,Grecia,SCIENTIFIC CULTURE,2026,MARIA VICTORIA AGUDELO VARGAS,24079529,1,Q2,No clasificada en Publindex,2025,
02023,014,Artículos publicados,Publicado en revista especializada,The accounting of the Tabernacle as a theological foundation: a reading from Exodus 38:21,Sudáfrica,PHAROS JOURNAL OF THEOLOGY,2026,SOL BEATRIZ VELEZ ESCOBAR,24143324,1,Q1,No clasificada en Publindex,2025,
02022,014,Artículos publicados,Publicado en revista especializada,"TEACHING, THEOLOGY, AND ACCOUNTING IN LUCA PACIOLI'S PORTRAIT",Grecia,SCIENTIFIC CULTURE,2026,ORLANDO CARMELO CASTELLANOS POLO,24079529,1,Q2,No clasificada en Publindex,2025,
02020,014,Artículos publicados,Publicado en revista especializada,THE PATH IN ACCOUNTING ACADEMIA: FROM AUDITING FIRMS TO THE ROLE OF RESEARCH PROFESSOR,Grecia,SCIENTIFIC CULTURE,2026,ORLANDO CARMELO CASTELLANOS POLO,24080071,1,Q2,No clasificada en Publindex,2025,
02019,014,Artículos publicados,Publicado en revista especializada,EDGAR FERNANDO NIETO SÁNCHEZ: CAREER IN THE GENERAL PUBLIC ACCOUNTING OFFICE OF THE NATION,Grecia,SCIENTIFIC CULTURE,2026,FARLEY SARY ROJAS RESTREPO,24080071,1,Q2,No clasificada en Publindex,2025,
00006,001,Artículos publicados,Publicado en revista especializada,Red neuronal convolucional para la detección del cáncer cerebral,Colombia,Ingenierías USBMed,2026,"VICTOR DANIEL GIL VERA, CATALINA QUINTERO LOPEZ",20275846,1,No indexada en Scopus,C,,2023
02021,014,Artículos publicados,Publicado en revista especializada,"To build a tax culture in Latin America and the Caribbean based on Matthew 22:15-21, ¿Give to Caesar what is Caesar¿s, and to God what is God¿s¿",Angola,PHAROS JOURNAL OF THEOLOGY,2026,"ORLANDO CARMELO CASTELLANOS POLO, NELVIS ESTER NAVARRO CHARRIS, ENOC BARRIENTOS PEREZ, BRESMAN CORRALES MOSQUERA",24143324,1,Q1,No clasificada en Publindex,2025,
