id,id_grupo,nombre,vinculacion,horas_dedicacion,inicio_vinculacion,fin_vinculacion,url_x,grupo 2,clasificación,posgrade,id_scholar,orcid,h_index,articulos,softwares,trabajos_dirigidos,capitulos,libros,innovaciones
0074,006,JOSE WILMAR PINO MONTOYA,Integrante,22,2013-6-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001236733,FILOSOFÍA Y TEOLOGÍA CRÍTICA,Investigador Senior (IS),Doctorado,AKJaLrEAAAAJ,0000-0001-9035-2058,11.0,23,0,40,7,1,0
0075,006,JUAN DE DIOS MARIN MURILLO,Integrante,10,2026-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001784443,,Sin clasificar,Doctorado,,,,5,0,0,0,1,0
0076,006,JUANITA TORRES PEREZ,Integrante,5,2026-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002516387,,Sin clasificar,Pregrado/Universitario,,,,0,0,0,0,0,0
0077,006,LESLIE JULIANA LOPERA BEDOYA,Integrante,5,2023-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001719325,,Sin clasificar,Maestría/Magister,,,,2,0,10,0,0,0
0078,006,MARIANA HENAO CASTANO,Integrante,5,2024-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001817290,,Sin clasificar,Maestría/Magister,,,,0,0,0,0,0,0
0079,006,MARLON VANEGAS ROJAS,Integrante,9,2018-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001141406,,Sin clasificar,Doctorado,ioeD-LsAAAAJ,0000-0001-8846-0543,2.0,5,0,61,4,2,0
0080,006,MONICA MARIA ALVAREZ GALLEGO,Integrante,19,2014-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001312596,,Investigador Asociado (I),Maestría/Magister,sw3ZQ-kAAAAJ,0000-0002-3894-0554,5.0,12,0,36,5,0,0
0081,006,NATALY RESTREPO RESTREPO,Integrante,6,2025-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001573553,,Investigador Junior (IJ),Doctorado,,,,14,1,32,6,5,0
0082,006,OSCAR PELAEZ HENAO,Integrante,8,2014-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000011178,,Investigador Asociado (I),Doctorado,WasxVdYAAAAJ,0000-0002-3202-036X,7.0,17,0,34,3,0,0
0083,006,SONIA RUTH QUINTERO ARRUBLA,Integrante,8,2017-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001490544,,Investigador Asociado (I),Maestría/Magister,Bo9j0C0AAAAJ,0000-0003-4835-2593,6.0,25,0,34,8,0,0
0084,006,VICTOR MANUEL GARNICA AYALA,Integrante,5,2024-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002209607,,Sin clasificar,Pregrado/Universitario,,,,0,0,0,0,0,0
0085,006,YUSTY CAROLINA RESTREPO SEGURA,Integrante,0,2019-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001642056,"FAMILIA, DESARROLLO Y CALIDAD DE VIDA",Investigador Asociado (I),Doctorado,BhyHthYAAAAJ,0000-0003-2565-0416,4.0,17,0,5,4,0,0
0086,006,ZAYNE LICEHT TAFUR OCHOA,Integrante,5,2025-6-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002386212,,Sin clasificar,CvLAC oculto,,,,0,0,0,0,0,0
0087,006,CARLOS ANDRES CARDONA ARTEAGA,Integrante,5,2024-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001691213,,Sin clasificar,Maestría/Magister,,,,2,0,0,0,0,0
0088,006,MARTA ELENA GONZALEZ  GIL,Integrante,10,2020-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001410807,,Investigador Junior (IJ),Doctorado,,,,7,0,14,1,0,0
0089,006,VANESSA ALEJANDRA SANCHEZ SANCHEZ,Integrante,5,2024-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002087364,,Sin clasificar,Maestría/Magister,,,,0,0,0,1,0,0
0090,007,EDISON FRANCISCO VIVEROS CHAVARRIA,Integrante,8,2003-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000409847,,Investigador Asociado (I),Maestría/Magister,00wsl70AAAAJ,0000-0003-0610-4110,16.0,40,0,180,3,8,0
0091,007,ANGELA MARITZA LOPERA JARAMILLO,Integrante,6,2017-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001357119,,Sin clasificar,Maestría/Magister,CcuAh7YAAAAJ,0000-0003-4812-7011,1.0,1,0,25,3,1,0
0092,007,CAROLINA VASQUEZ LOPEZ,Integrante,0,2020-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001725420,,Investigador Junior (IJ),Maestría/Magister,KcmOLKYAAAAJ,0000-0002-1936-7182,7.0,8,0,40,1,0,0
0093,007,CATALINA GONZALEZ PENAGOS,Integrante,10,2023-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001519529,,Investigador Asociado (I),Maestría/Magister,,,,19,0,22,11,1,0
0094,007,LEDY MARYORY BEDOYA CARDONA,Integrante,8,2017-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001559954,,Investigador Junior (IJ),Doctorado,6vKCOHYAAAAJ,0000-0003-4132-3298,4.0,16,0,4,3,2,0
0095,007,OVIDIO HERRERA RIVERA,Integrante,12,2011-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001410679,,Investigador Junior (IJ),Doctorado,gcjNnGEAAAAJ,0000-0002-0872-7840,5.0,21,0,37,6,2,0
0096,007,VIVIANA RACERO LOPEZ,Integrante,4,2024-10-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000626180,,Sin clasificar,Maestría/Magister,,,,2,0,9,1,0,0
0097,007,ZONAIKA MAIRA POSADA LOPEZ,Integrante,0,2020-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000048707,,Investigador Asociado (I),Maestría/Magister,SzdJEXEAAAAJ,0000-0002-6479-0852,1.0,10,0,51,5,1,0
0098,008,KATY LUZ MILLAN OTERO,Integrante,20,2016-7-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000107163,,Investigador Asociado (I),Doctorado,C9ZdWuEAAAAJ,0000-0003-0328-4259,4.0,19,0,81,8,1,2
0099,008,NICOLASA MARIA DURAN PALACIO,Integrante,10,2013-6-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000328774,,Investigador Senior (IS),Doctorado,ULpZsLAAAAAJ,0000-0001-5492-6931,9.0,42,0,68,12,1,0
0100,008,HEIDI SMITH PULIDO VARON,Integrante,5,2015-10-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001455249,,Investigador Asociado (I),Maestría/Magister,5ZIDAcEAAAAJ,0000-0001-8198-0896,2.0,12,0,63,6,1,0
0101,008,JOHN JAIRO GARCIA PENA,Integrante,6,2012-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001346821,,Investigador Senior (IS),Maestría/Magister,iXbqjRQAAAAJ,0000-0001-8390-5945,9.0,28,0,57,1,5,44
0102,008,MAGDA VICTORIA DIAZ ALZATE,Integrante,10,2015-5-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000007210,,Investigador Asociado (I),Doctorado,GsRFkT8AAAAJ,0000-0002-7712-8462,6.0,22,0,63,5,1,0
0103,008,MARIA CRISTINA CORREA DUQUE,Integrante,9,2017-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001632953,,Investigador Asociado (I),Maestría/Magister,SosfQ4QAAAAJ,0000-0002-0547-4315,5.0,9,0,9,3,0,0
0104,008,TOMAS JAIME QUEVEDO ZAPATA,Integrante,5,2026-5-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001543970,,Sin clasificar,Maestría/Magister,,,,2,0,5,0,0,0
0105,008,ANGELA MARITZA CARDONA CARDONA,Integrante,10,2022-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001650697,,Sin clasificar,Maestría/Magister,,,,3,0,0,1,0,0
